,index,lead,closed,monthly adspend,n paid traffic platforms,business,monthly revenue,% traffic from ads,average order value,new customers,monthly visits change,bounce rate,source,review sentiment,dominant platform,subscriber,monthly hardcosts,Unnamed: 15,ad revenue,roas,cac,profit,keyword matchtype,n links lp,n words lp,trigger words  lp,lpc,profit margin
0,0,FrankKern.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,ImpactTheory.Com,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,digitalmillionairesecrets.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,mastermind.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,ShopaNova.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,SamCart.io,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Clickfunnels.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,billygeneismarketing.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,kinobody.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Ladyboss.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,GymLaunch.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,SmarterNutrition.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,thedouglasjames.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,fulltimefilmmaker.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,webuildbrands UG,1,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,leadgenblueprint.ryanwegner.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,groovelife.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,NINEUNIVERSITY.COM,1,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,peterszabo.co,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Current9.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,rydermedia.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,prestigepromedia.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,admagnet.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,AdSkills.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,gatestonebpo.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,heybrain.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,milliondollarfirms.co,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,rankoneecommerce.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,leadjolt.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,InclusivleyCreative.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,neilpatel.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,ImpedeMedia.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,JamesMills.co.uk,0,,,,,,,,,,,,,,,,,,,,,,,,,
33,3,exfilproject.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,seo-hacker.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
35,5,hautehijab.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
36,6,ontraport.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
37,7,getmainlobster.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
38,8,launchtitans.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
39,9,eofire.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
40,10,reww.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,draxe.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
42,12,titansdvds.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
43,13,vitalitymarketingfirm.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
44,14,embertribe.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
45,15,theyoungrens.com,0,,,,,,,,,,,,,,,,,,,,,,,,,
